time_s,wheel_speed,raw_weight,velocity,pitch,roll,acc,acc_z
28:55.4,0,14598,0,-0.5,0.7,-0.1,9.8
28:55.5,0,14598,0,-0.5,0.7,0,9.8
28:55.6,0,14599,0,-0.5,0.7,0,9.8
28:55.7,0,14598,0,-0.5,0.7,0,9.8
28:55.8,0,14600,0,-0.5,0.7,0,9.8
28:55.9,0,14598,0,-0.5,0.7,0.1,9.8
28:56.0,0,14598,0,-0.5,0.7,-0.1,9.8
28:56.1,0,14599,0,-0.5,0.7,0,9.8
28:56.2,0,14602,0,-0.5,0.7,0,9.8
28:56.3,0,14603,0,-0.5,0.7,0.1,9.8
28:56.4,0,14603,0,-0.5,0.7,-0.1,9.8
28:56.5,0,14601,0,-0.5,0.7,0,9.8
28:56.6,0,14601,0,-0.5,0.7,0,9.8
28:56.7,0,14600,0,-0.5,0.7,0,9.8
28:56.8,0,14602,0,-0.5,0.7,0,9.8
28:56.9,0,14603,0,-0.5,0.7,0,9.8
28:57.0,0,14602,0,-0.5,0.7,0,9.8
28:57.1,0,14604,0,-0.5,0.7,0,9.8
28:57.2,0,14605,0,-0.5,0.7,0,9.8
28:57.3,0,14605,0,-0.5,0.7,0,9.8
28:57.4,0,14606,0,-0.5,0.7,0,9.8
28:57.5,0,14606,0,-0.5,0.7,0,9.8
28:57.6,0,14606,0,-0.5,0.7,0.1,9.8
28:57.7,0,14605,0,-0.5,0.7,-0.1,9.8
28:57.8,0,14605,0,-0.5,0.7,0.1,9.8
28:57.9,0,14605,0,-0.5,0.7,0,9.8
28:58.0,0,14603,0,-0.5,0.7,-0.1,9.8
28:58.1,0,14601,0,-0.5,0.7,0,9.8
28:58.2,0,14601,0,-0.5,0.7,0,9.8
28:58.3,0,14598,0,-0.5,0.7,0.1,9.8
28:58.4,0,14595,0,-0.5,0.7,0.1,9.8
28:58.5,0,14596,0,-0.5,0.7,-0.1,9.8
28:58.6,0,14596,0,-0.5,0.7,-0.1,9.8
28:58.7,0,14596,0,-0.5,0.7,0,9.8
28:58.8,0,14596,0,-0.5,0.7,0,9.8
28:58.9,0,14595,0,-0.5,0.7,0,9.8
28:59.0,0,14597,0,-0.5,0.7,0,9.8
28:59.1,0,14596,0,-0.5,0.7,0,9.8
28:59.2,0,14595,0,-0.5,0.7,0.1,9.8
28:59.3,0,14595,0,-0.5,0.7,-0.1,9.8
28:59.4,0,14598,0,-0.5,0.7,0,9.8
28:59.5,0,14598,0,-0.5,0.7,0.1,9.8
28:59.6,0,14601,0,-0.5,0.7,-0.1,9.8
28:59.7,0,14608,0,-0.5,0.7,0,9.8
28:59.8,0,14609,0,-0.5,0.7,0,9.8
28:59.9,0,14605,0,-0.5,0.7,0,9.8
29:00.0,0,14605,0,-0.5,0.7,0.1,9.8
29:00.1,0,14603,0,-0.5,0.7,-0.1,9.8
29:00.2,0,14602,0,-0.5,0.7,0,9.8
29:00.3,0,14600,0,-0.5,0.7,0,9.8
29:00.4,0,14597,0,-0.5,0.7,0,9.8
29:00.5,0,14593,0,-0.5,0.7,0,9.8
29:00.6,0,14593,0,-0.5,0.7,0.1,9.8
29:00.7,0,14593,0,-0.5,0.7,-0.1,9.8
29:00.9,0,14593,0,-0.5,0.7,0.1,9.8
29:01.0,0,14594,0,-0.5,0.7,-0.1,9.8
29:01.1,0,14595,0,-0.5,0.7,0,9.8
29:01.2,0,14595,0,-0.5,0.7,0,9.8
29:01.3,0,14595,0,-0.5,0.7,0,9.8
29:01.4,0,14593,0,-0.5,0.7,0,9.8
29:01.5,0,14594,0,-0.5,0.7,0,9.8
29:01.6,0,14593,0,-0.5,0.7,0,9.8
29:01.7,0,14591,0,-0.5,0.7,0,9.8
29:01.8,0,14589,0,-0.5,0.7,0,9.8
29:01.9,0,14588,0,-0.5,0.7,0,9.8
29:02.0,0,14588,0,-0.5,0.7,0,9.8
29:02.1,0,14585,0,-0.5,0.7,0,9.8
29:02.2,0,14588,0,-0.5,0.7,0,9.8
29:02.3,0,14591,0,-0.5,0.7,0,9.8
29:02.4,0,14592,0,-0.5,0.7,0,9.8
29:02.5,0,14593,0,-0.5,0.7,-0.1,9.8
29:02.6,0,14594,0,-0.5,0.7,0,9.8
29:02.7,0,14592,0,-0.5,0.7,0,9.8
29:02.8,0,14590,0,-0.5,0.7,0.1,9.8
29:02.9,0,14589,0,-0.5,0.7,-0.1,9.8
29:03.0,0,14590,0,-0.5,0.7,0,9.8
29:03.1,0,14593,0,-0.5,0.7,0,9.8
29:03.2,0,14595,0,-0.5,0.7,0.1,9.8
29:03.3,0,14592,0,-0.5,0.7,0,9.8
29:03.4,0,14589,0,-0.5,0.7,-0.1,9.8
29:03.5,0,14589,0,-0.5,0.7,0,9.8
29:03.6,0,14590,0,-0.5,0.7,0.1,9.8
29:03.7,0,14588,0,-0.5,0.7,0.1,9.8
29:03.8,0,14589,0,-0.5,0.7,-0.2,9.8
29:03.9,0,14592,0,-0.5,0.7,0,9.8
29:04.0,0,14594,0,-0.5,0.7,0.1,9.8
29:04.1,0,14595,0,-0.5,0.7,-0.1,9.8
29:04.2,0,14593,0,-0.5,0.7,0,9.8
29:04.3,0,14593,0,-0.5,0.7,0,9.8
29:04.4,0,14596,0,-0.5,0.7,0.1,9.8
29:04.5,0,14597,0,-0.5,0.7,-0.1,9.8
29:04.6,0,14598,0,-0.5,0.7,0.1,9.8
29:04.7,0,14597,0,-0.5,0.7,-0.1,9.8
29:04.8,0,14595,0,-0.5,0.7,0,9.8
29:04.9,0,14593,0,-0.5,0.7,0,9.8
29:05.0,0,14591,0,-0.5,0.7,0,9.8
29:05.1,0,14592,0,-0.5,0.7,0,9.8
29:05.2,0,14594,0,-0.5,0.7,0,9.8
29:05.3,0,14594,0,-0.5,0.7,0,9.8
29:05.4,0,14594,0,-0.5,0.7,0,9.8
29:05.5,0,14594,0,-0.5,0.6,0,9.8
29:05.6,0,14594,0,-0.5,0.6,0,9.8
29:05.7,0,14595,0,-0.5,0.6,0,9.8
29:05.8,0,14593,0,-0.5,0.6,0,9.8
29:05.9,0,14590,0,-0.5,0.6,0,9.8
29:06.0,0,14589,0,-0.5,0.6,0.1,9.8
29:06.1,0,14590,0,-0.5,0.6,0,9.8
29:06.2,0,14590,0,-0.5,0.6,-0.1,9.8
29:06.3,0,14591,0,-0.5,0.6,0,9.8
29:06.4,0,14592,0,-0.5,0.6,0,9.8
29:06.6,0,14592,0,-0.5,0.6,0,9.8
29:06.7,0,14592,0,-0.5,0.6,0,9.8
